"inscriptionId","address","filename"
Production Scripts
"f7efbaf0955026aa841dded0e58a64e152890b33b1e863b1988936c28688d8aai0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.js"
"c0c6ac4645ef2a763c7999a59aaf910a211d546cbe61e7b0d9674d77709e6d6fi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.htm"
"c643e4a96b70f3c6b7856cd7a58e6d6215afac467bd2eef1b2be952bdd5109e8i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","ZZ5H.gif"
"6f9855531ce7ab3593f6f0c22ec36d2176999e13f63c0ad75a6997609653566bi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_src_local_live.json"
"6a74278a4ff322747190849390fed06c666a779630429eeb3db756dca8f8809ai0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","testTimeTravel_m.json"
"ec05c63add595fa405fe3cb1eb7338d860b759a592974a27e99f60c572f7fdcfi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fboracle_m.js"
"7a218f7bff5a105e555c3449e65593d9a1d53084033c224f1a7d3c1444807fd9i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbtimetravel_m.js"
"70d7401c3898598fab178aae1b3f3b4ac80fde106f176d702ac9b1624166db87i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbui_m.js"
"51ce84cb0a82fdd91d6125d58b9461e41d02e655f0b127b26748eb18c94356b4i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbdmt_m.js"
"c4d6ebc3a85ec5a47b0c8700cf66f6b7897ce38d8c09ea033224483f8d88805ai0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbutils_m.js"
"17559e290a20acb1794e9acfd48a429a416c629bbd36620c5bc13f17f9e1d3c6i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.js"
"3759d6a9314136b9ef4de77eb00a89da9014360d69b5f3b9f9eb66770ab31255i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.htm"
"c9c1de8035a2b7a09ddb1be45212acd3e4ccd5099cb019b43273fbfb002e2ad1i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbutils_m.js"
"4fa014f3b18cb6eae9b355a22989a0c42d5a4335bee7cf596646cf7373866dc0i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fboracle_m.js"
"645adc6e8443db9116fe4d925b5414b1da6ee76f28c059ef8738a1ffb9256c18i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbtimetravel_m.js"
"35d456fa90d76ce70902a00f3fec23b111375bd36b2ba8f149769e57b7f56c3fi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_src_m_2.json"
"500ac3261d00d3b0df46d3e2f4c12f2cfc15e09e706ccd05ed4cbf2426b3b21ai0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbdmt_m.js"
"095f8bf2b57bea9a73348bc6215aaed3964b3f96fc78cce04e3137211fb9ebddi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_src_m_2.json"
"97084cd4f255108bfe871567c29e41d82fc70be6807e18bacd9dd918744e575ci0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.js"
"cdc939bcff8942dbf32cef3ef2fc42c179521d8fc769311094a74d1e0226c816i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.htm"
"fee8d7d774e5bc38f22d41f345886ec506eb7e69cae4e0423213c37a2a07a60ci0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.js"
"a082f232d5db859488975e3d66ae1fd9eff459f42bcbe9b5b6d25a866d72a041i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","fg_mint_prod.js"



Local Testing Scripts
"8dd483c5db39d92c4810123e24495b5e82676c0e2ac472f1051805198dcca02ei0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fboracle.js"
"1dd74416d6f7a0a491fbbbf7de151737a9b703240cb35e54d40823a918bccd31i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbtimetravel.js"
"a0d3f9133327bd6e3b25ae34a156419c8ab04d9e671e90ce751fb036b716156ci0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbutils.js"
"768399337cd64a9530fdb9824f901972d052d3f9c0d12db881585918b01f33a0i0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbdmt.js"
"c13b8b86b0aeaf19cbc77f77d0fe919cd380b4c4f2a6fe986851616c4c43283bi0","bc1p5trlw3pwmz6jdlxug2exvlwmdl3a0gfe82zzzaxrvnvdmrewx7jqefh33j","brc333fbui.js"